,user,Clase,degree,betweenness,eigenvector,pagerank,Cws
68,1186080397626658816,0,1.0,0.0,5.473844197438135e-05,6.76948872814725e-06,0.0
69,3107864708,0,13.0,0.0,0.003527321928350009,4.6393038996255404e-05,0.14102564102564102
70,2229279600,0,38.0,1280051.514236174,0.0056447287613320355,0.00012000430626936263,0.10241820768136557
71,1426566756,0,8.0,0.0,0.0031495362362791678,2.9444159755741464e-05,0.25
72,1342088166,0,1.0,0.0,4.703308325131687e-05,6.6311324152820335e-06,0.0
73,962815988336119810,0,1.0,2667.9879529342197,6.006910496697195e-05,6.798178510904001e-06,0.0
74,152398844,0,5.0,0.0,0.000378008573834926,1.7822556232336442e-05,0.0
75,70596691,0,1.0,11231.03722687577,3.7420781980801703e-05,6.7042776225752114e-06,0.0
76,1865275226,0,3.0,39401.87899844351,0.0001908848415724967,1.1650532381121701e-05,0.0
77,1030600807094382592,0,2.0,0.0,0.00014629564791972632,9.86279617075427e-06,0.0
78,183031741,0,2.0,0.0,6.106535943759924e-05,1.0812303290206979e-05,0.0
79,145010134,0,88.0,12637.26249788289,0.007490485546210022,0.00027916117730329064,0.03912448700410397
80,918893305664098304,0,33.0,7113.260287584147,0.0022872009599874802,0.00010351737079537145,0.022727272727272728
81,140374618,0,2.0,0.0,0.002952635706095433,1.0487189639378976e-05,1.0
82,1180936849,0,12.0,0.0,0.004362030358541543,4.091108143468971e-05,0.19696969696969696
83,4470440536,0,67.0,49468.4352160967,0.007043095147654419,0.00020454071855273393,0.05970149253731343
86,542672934,0,1.0,90597.47724673947,0.00010794922416028936,6.531585057764086e-06,0.0
87,153552401,0,23.0,0.0,0.003646527856721565,8.109098449594105e-05,0.06719367588932806
88,869206764704731136,0,57.0,0.0,0.0046925719759705435,0.0001897609369187445,0.02506265664160401
90,1299899337087033345,0,2.0,20997.677253882837,0.0001366284427677315,1.0699698034917947e-05,0.0
91,939907866894401536,0,6.0,0.0,0.002940153658074383,2.4687470357932053e-05,0.2
92,886020561989718016,0,7.0,40759.03716191889,0.0004885472413737479,2.3780674574844486e-05,0.0
93,2468581307,0,7.0,263.8775836631033,0.0005083889825960587,2.537339174439168e-05,0.047619047619047616
94,2377961704,0,1.0,0.0,7.489441122903058e-05,6.870521482238343e-06,0.0
96,973491850530164736,0,4.0,14437.080953292958,0.0030157414571692982,1.651456534699297e-05,0.5
97,1272713534078619648,0,134.0,0.0,0.008580451575836756,0.00046115957065207577,0.01728201099764336
98,1250601378872991745,0,14.0,7926.055279022208,0.0007101465907230306,5.087967070453482e-05,0.06593406593406594
99,1099369944960110592,0,1.0,0.0,0.002808734185523778,7.943073901465015e-06,0.0
100,1399456345,0,36.0,0.0,0.0052635144963029965,0.0001123820556703059,0.08912655971479501
101,2649013430,0,3.0,0.0,0.00011016005496702223,1.3903190705625857e-05,0.0
102,1211089022103064576,0,2.0,0.0,0.00011832669482074088,9.582958485032062e-06,0.0
104,281644571,0,1.0,0.0,0.00015414092403876826,6.8555370540336465e-06,0.0
105,135959915,0,10.0,0.0,0.0003209302860569023,3.584054982373686e-05,0.0
107,1231257889945391104,1,1.0,0.0,9.771048092834909e-05,9.29038657038558e-06,0.0
108,1212718019849248768,1,7.0,68265.39814615795,0.008125756954984386,3.274874472318418e-05,0.5238095238095238
109,1172610671965548545,1,31.0,122901.67407078027,0.017025627986024056,0.00012783980782789405,0.18472906403940886
110,202824848,1,9.0,4024.751172290655,0.00827344508757835,4.021800563255718e-05,0.3888888888888889
111,341154704,1,2.0,0.0,0.004775162215306976,1.4715959903847014e-05,0.0
112,2693592596,1,6.0,0.0,0.005856373754720454,3.0810395645293164e-05,0.4666666666666667
113,148031006,1,2.0,7612.583521185608,0.0070950235881222234,1.3436244467243188e-05,0.0
116,378996603,1,5.0,0.0,0.004010515463657783,2.5004089532494794e-05,0.4
117,837186873143488514,1,52.0,3608.7031738237547,0.01620625375981491,0.00023050980578396193,0.07164404223227752
118,1002260764747616260,1,1.0,0.0,8.128200623142544e-05,7.91942448111207e-06,0.0
119,1241874768569274368,1,2.0,0.0,0.0035075789530342855,1.233318157519069e-05,0.0
120,3017809004,1,15.0,39008.40337258311,0.007437629895980238,7.436468617609332e-05,0.14285714285714285
121,33524608,1,1.0,0.0,4.02628938731851e-05,7.896491257425903e-06,0.0
123,2687724840,1,3175.0,0.0,0.17951321574775025,0.019908885940623927,0.0007499913172479149
124,60939248,1,6.0,0.0,0.00044152886888514434,3.2601995520793536e-05,0.0
125,1014284625592639489,1,53.0,14307.375967112532,0.008267428065545153,0.0002300384002214201,0.034107402031930335
126,1351621913446141953,1,9.0,7.1349840617976135,0.011763094082587995,4.81416561015985e-05,0.3333333333333333
